ingredient,side_effects
bacopa,"Bacopa extract is  POSSIBLY SAFE  for adults when taken by mouth appropriately and short-term, up to 12 weeks. Common side effects include increased bowel movements, stomach cramps, nausea, dry mouth, and fatigue.   
 
"
bael,There isn't enough information to know if bael is safe. Large amounts may cause  stomach  upset and constipation.     
baikal-skullcap,"Baikal skullcap is  POSSIBLY SAFE  for most adults when taken by mouth. It might cause drowsiness. There have been reports of fever and lung inflammation in people who took Baikal skullcap. But there is not enough information to know if Baikal skullcap is the cause of these side effects.   

A specific combination product called flavocoxid (Limbrel, Primus Pharmaceuticals) that contains Baikal skullcap was safely used in research studies lasting up to 12 weeks. However, there are concerns that this combination product might cause liver problems in some people. This side effect does not appear to be common and might only occur in people who have a type of allergic reaction to it.   
 
"
bamboo,There isn't enough reliable information available about bamboo to know if it is safe.     
banaba,"Banaba is  POSSIBLY SAFE  for most people when taken by mouth on a short-term basis. Not enough is known about the safety of using banaba long-term.   
 "
baobab,"Baobab is  LIKELY SAFE  when consumed as a food. However, there is no reliable information about its safety when used as medicine.  "
barley,Barley is  LIKELY SAFE  for most people when taken by mouth appropriately. Barley flour can sometimes cause asthma.     
basil,"Basil is  LIKELY SAFE  when taken by  mouth  in food amounts.     Basil is  POSSIBLY SAFE  for adults when taken by  mouth  as a medicine, short-term. In some people basil can cause  low blood sugar .    The above-ground parts of basil and basil oil are  POSSIBLY UNSAFE  when taken by mouth as a medicine, long-term. These contain estragole, a chemical that might increase the risk of getting  liver cancer .     "
bay-leaf,"Bay leaf and bay leaf oil is  LIKELY SAFE  for most people in food amounts. Ground bay leaf is  POSSIBLY SAFE  when taken by  mouth  in medicinal amounts, short-term. But, if you cook with whole bay leaf, be sure to remove it before eating the food. Taking the whole, intact leaf by mouth is  LIKELY UNSAFE . The leaf can’t be digested, so it remains intact while passing through the  digestive system . This means it can become lodged in the throat or pierce the lining of the  intestines .     "
bayberry,"Bayberry is considered  POSSIBLY UNSAFE  when taken by  mouth . Bayberry can cause nausea, vomiting, and  liver  damage. It also contains a  cancer -causing chemical.    There isn’t enough information to know whether it is safe to apply bayberry to the skin or use as a gargle or douche.  "
bears-garlic,There isn’t enough information to know if bear’s garlic is safe.  
bee-pollen,"Bee pollen is  POSSIBLY SAFE  for most people when taken by mouth for up to 30 days. There is also some evidence that taking two tablets twice daily of a specific combination product that contains 6 mg of royal jelly, 36 mg of bee pollen extract, bee pollen, and 120 mg of pistil extract per tablet for up to 2 months may be safe.   

The biggest safety concerns are allergic reactions. Bee pollen can cause serious allergic reactions in people who are allergic to pollen.   

There have also been rare reports of other serious side effects such as liver and kidney damage or photosensitivity. But it is not known if bee pollen or some other factor was truly responsible for these effects. Also, a single case of dizziness has been reported for a person who took bee pollen extract, royal jelly, and bee pollen plus pistil extract.   
 "
bee-venom,"Bee venom is safe for most people when injected under the skin by a trained medical professional. Some people might get redness and swelling where the injection is given. Side effects include  itching ,  anxiety ,  trouble breathing , chest tightness,  heart palpitations ,  dizziness ,  nausea , vomiting,  diarrhea , sleepiness, confusion,  fainting , and  low blood pressure .    Side effects are more common in people with the worst allergies to bee stings, in people treated with honeybee venom, and in women.    Live bee stings have been safely administered under medical supervision in doses up to 20 bee stings three times weekly for up to 24 weeks.  "
beer,"Beer is  LIKELY SAFE  for most people when used in moderation. This translates to two or fewer 12 ounce glasses a day. Drinking more than this at one sitting is  POSSIBLY UNSAFE  and can cause a lot of side effects, including: flushing, confusion, trouble controlling emotions, blackouts, loss of coordination, seizures, drowsiness, trouble breathing, hypothermia, low blood sugar, vomiting, diarrhea, bleeding, irregular heartbeat, and others.   

Long-term use can lead to alcohol dependence and can cause many serious side effects, including: malnutrition, memory loss, mental problems, heart problems, liver failure, swelling (inflammation) of the pancreas, cancers of the digestive track, and others.   
 "
beeswax,"Beeswax is  LIKELY SAFE  for most people when taken by  mouth  as food or as a medicine, or when applied directly to the  skin .     "
beet,"Beet is  LIKELY SAFE  for most people when taken in the amounts typically found in foods. Beet is  POSSIBLY SAFE  for most people when taken by mouth in medicinal amounts. 

Beets sometimes make urine or stools pink or red. Also, beets might cause low calcium levels and kidney damage. This hasn't been shown in people.


"
belladonna,"Belladonna is  LIKELY UNSAFE  when taken by mouth. It contains chemicals that can be toxic.    Side effects can include dry mouth, enlarged pupils, blurred vision, red dry skin, fever, fast heartbeat, inability to urinate or sweat, hallucinations, spasms, mental problems, convulsions, and coma.     "
benzoin,There is some evidence that benzoin might be safe for use as a medicine when taken by  mouth  or applied to the skin. Not enough is known about the safety of inhaling it.  
bergamot,"Bergamot oil is  LIKELY SAFE  for most people in the small amounts found in food. It is  POSSIBLY UNSAFE  when used on the skin (topically), because it can make the skin sensitive to the sun and more vulnerable to  skin cancer . People who work with bergamot can develop  skin problems  including  blisters , scabs, pigment spots,  rashes , sensitivity to the sun, and cancerous changes.     "
beta-alanine,Beta-alanine is  POSSIBLY SAFE  when taken by  mouth  appropriately for a short time. Side effects have not been reported with moderate doses of beta-alanine. High doses can cause flushing and tingling.     
beta-carotene,"Beta-carotene is  LIKELY SAFE  in adults and children when taken by mouth in appropriate amounts for certain specific medical conditions. However, beta-carotene supplements are not recommended for general use.    Beta-carotene is  POSSIBLY UNSAFE  when taken by mouth in high doses, especially when taken long-term. High doses of beta-carotene can turn skin yellow or orange.    There is growing concern that taking high doses of antioxidant supplements such as beta-carotene might do more harm than good. Some research shows that taking high doses of beta-carotene supplements might increase the chance of death from all causes, increase the risk of certain cancers, and possibly other serious side effects. In addition, there is also concern that taking large amounts of a multivitamin plus a separate beta-carotene supplement increases the chance of developing advanced prostate cancer in men.     "
